Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
TP102,TestPoint,TestPoint_Pad_D2.0mm,134.5,-76.75,0.0,top
TP103,TestPoint,TestPoint_Pad_D2.0mm,162.4,-87.35,0.0,top
TP104,TestPoint,TestPoint_Pad_D2.0mm,162.2,-91.0,0.0,top
TP105,TestPoint,TestPoint_Pad_D2.0mm,112.25,-100.1,0.0,top
U101,BQ24040,QFN_10_BQ24040,157.53,-103.015,0.0,top
U102,APX803-29SAG,SOT-23,154.8075,-82.18,0.0,top
U103,AP2112K-3.3,SOT-23-5,156.87,-95.3475,0.0,top
U104,AP2112K-1.8,SOT-23-5,156.8575,-87.935,0.0,top
U201,ESP32-C6-MINI-1/U,ESP32-C6-MINI-1,166.4,-77.10035,0.0,top
U301,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,107.79,-108.03,180.0,bottom
U302,ICP20100,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,158.48,-108.885,270.0,bottom
U303,BH1750FVI,XDCR_BH1750FVI-TR,134.5175,-108.55,180.0,bottom
U304,T3902,MMIC,183.9825,-108.343,0.0,bottom
